condition,control_type,dose,seed,enable_meta_monitor,meta_monitor_strength,meta_monitor_noise,meta_monitor_delay,proxy_self_model,proxy_boundary_self,proxy_legacy_self_model,generic_architecture_probe,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,hard_self_with_lesion,detail_hidden_discovery_rate,detail_hidden_response_effectiveness,detail_schema_final_accuracy,detail_schema_update_speed,detail_lesion_drop
noise_0.08,noise,0.08,20266524,True,1.0,0.08,0,0.9679935275847549,0.9679935275847549,0.950981994591109,0.9384062431924238,0.9926433708563152,0.9994009523964641,0.7841944838717692,0.9768168554817344,0.9286612625792431,1.0,0.9789810595894721,0.9991190476418592,1.0,0.47449255480849895
noise_0.18,noise,0.18,20267521,True,1.0,0.18,0,0.9335736698329403,0.9335736698329403,0.7837773727566792,0.8558487992332685,0.9860492133640097,0.9812116803037461,0.715307862903691,0.9410365643003414,0.8846043889511788,1.0,0.9601406096114564,0.9723701180937441,1.0,0.4018848385537016
noise_0.18,noise,0.18,20267522,True,1.0,0.18,0,0.8606921230527417,0.8606921230527417,0.7746358015971903,0.8517773529506991,0.9867444956841196,0.987879222664368,0.7142697119718547,0.9421336904330623,0.8851676958177603,1.0,0.962127130526056,0.9821753274475999,1.0,0.3992125767059074
noise_0.18,noise,0.18,20267523,True,1.0,0.18,0,0.9362092676938807,0.9362092676938807,0.8390709936171277,0.8743175503163589,0.9913960042402965,0.9799257041866429,0.7283268647129064,0.9485464195810994,0.8934915308640512,1.0,0.9754171549722759,0.970478976745063,1.0,0.4202639057576163
noise_0.18,noise,0.18,20267524,True,1.0,0.18,0,0.9694538028307141,0.9694538028307141,0.9452787074190139,0.8541092992022663,0.9846097553315616,0.990817064993978,0.7323772392478151,0.9431787065092686,0.8904783396939052,1.0,0.9560278723758906,0.9864956838146733,1.0,0.42929028960363647
noise_0.32,noise,0.32,20268521,True,1.0,0.32,0,0.9533387192846696,0.9533387192846696,0.8952094992984762,0.8007512581892062,0.988095042353097,0.9835157880105514,0.6528763088739872,0.9241206961842848,0.8563095993567105,1.0,0.965985835294563,0.9757585117802225,1.0,0.32850167872171865
noise_0.32,noise,0.32,20268522,True,1.0,0.32,0,0.9499492203892231,0.9499492203892231,0.9490729595579762,0.8137941551967801,0.9749237753846691,0.9783502163484754,0.688717139063337,0.9223560489766416,0.8639463214983154,1.0,0.9283536439561977,0.9681620828654052,1.0,0.37181066108351524
noise_0.32,noise,0.32,20268523,True,1.0,0.32,0,0.9615642712698553,0.9615642712698553,0.8934079450234977,0.7970194924912279,0.9839548779490268,0.990167157125704,0.6614831694892733,0.9237138425219863,0.8581561742638081,1.0,0.9541567941400764,0.9855399369495648,1.0,0.3324467665152242
noise_0.32,noise,0.32,20268524,True,1.0,0.32,0,0.9686756274681001,0.9686756274681001,0.9488874562899239,0.8128361329265328,0.9576389789960826,0.9692164820664053,0.689760894573262,0.9132305313296736,0.8573631221405706,1.0,0.8789685114173792,0.9586516893133409,0.9916666666666667,0.3733181093992879
delay_4,delay,4.0,20269521,True,1.0,0.0,4,0.9533552090259558,0.9533552090259558,0.8901720814528613,0.9588217160579829,0.9829397989490114,0.9867752537852085,0.8076295670801072,0.9761789229307344,0.9340415839680776,1.0,0.9655422827114608,0.9857806019717119,0.9888888888888889,0.5037703497939388
