architecture,condition,seed,proxy_self_model,proxy_agency,independent_self_model,independent_agency,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_intentional_binding,test_error_attribution,test_controllability_preference,test_forced_action_probe,test_architecture_self_probe,proxy_boundary_self,independent_self_core_boundary,proxy_identity_marker_persistence,test_delayed_identity_recognition,proxy_action_attribution,test_forced_choice_ownership,proxy_distributed_body_schema_self,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,enable_workspace,enable_action_loop,condition_set,run_index,meta_monitor_strength,meta_monitor_noise,meta_monitor_delay
distributed,meta_noise_0.4,20274533,0.9035348780467104,0.3968430357740218,0.6655924267771574,0.2846293702391508,0.4962072483837868,1.0,0.38333333333333336,0.23797568048622986,0.025808696371245277,0.1387956040038485,0.7359375000952796,0.7828291253915093,0.9035348780467104,0.6300030680562964,0.6025726351341831,0.5,0.8000000000759673,0.9986668063416722,0.9035348780467104,0.9652442777172776,0.9769298996258414,0.6619957465198343,0.9710870886715595,,,meta-noise,236,1.0,0.4,0.0
distributed,meta_noise_0.4,20274534,0.9229793862062875,0.2753121671041113,0.6606564789864579,0.35433368427148726,0.480282656576115,1.0,0.38333333333333336,0.2208622586306096,0.04599278354113991,0.3046463615347733,0.8458333333794263,0.7790099260363831,0.9229793862062875,0.6210585410947189,0.6178478467121217,0.5,0.8302083333817694,0.9985491108357947,0.9229793862062875,0.9851001514752817,0.9647307850016449,0.649392253850174,0.9749154682384633,,,meta-noise,237,1.0,0.4,0.0
distributed,meta_noise_0.4,20274535,0.9474512168693628,0.3569707651505717,0.656933914515383,0.3132623935181331,0.4815740163837614,1.0,0.35,0.24251650271723454,0.021699879524769938,0.16487485844235156,0.8239583333881764,0.7961616416777704,0.9474512168693628,0.6396174828940033,0.6799999999999999,0.5,0.7994791667408219,0.9985673889614842,0.9474512168693628,0.9742879622607739,0.9738061577170435,0.6814807567843986,0.9740470599889086,,,meta-noise,238,1.0,0.4,0.0
distributed,meta_noise_0.4,20274536,0.9478918560702516,0.4618063780692101,0.6542671874083054,0.32201642960551013,0.44271966082582465,1.0,0.39166666666666666,0.26918160934743407,0.02100146002392387,0.09632014902390179,0.9015625000267808,0.7826824221407301,0.9478918560702516,0.6531799149469545,0.6702092907220324,0.5,0.8651041667034789,0.9986058428376033,0.9478918560702516,0.9716035698711039,0.9669427123708054,0.6630796473565248,0.9692731411209546,,,meta-noise,239,1.0,0.4,0.0
distributed,meta_noise_0.6,20275521,0.9440431697426133,0.30385013012606554,0.677863013961108,0.33204102748172715,0.5043725097347611,1.0,0.4583333333333333,0.22145345191909707,0.027490558676099147,0.2469284326102026,0.8322916667215098,0.7487462127763378,0.9440431697426133,0.6188489905841494,0.6406398770946797,0.5,0.7953125000715925,0.9985039574448055,0.9440431697426133,0.904167936564165,0.9861349622111795,0.6379980940853953,0.9451514493876723,,,meta-noise,240,1.0,0.6,0.0
distributed,meta_noise_0.6,20275522,0.9381887769743411,0.3037198573547418,0.6837130174017498,0.3358687078223991,0.5008713186478073,1.0,0.48333333333333334,0.22788427123066365,0.02467385794599118,0.2138333687510151,0.8770833333619263,0.7506474176258585,0.9381887769743411,0.6109476883487107,0.6645195293865399,0.5,0.8364583333817693,0.9984137221426291,0.9381887769743411,0.9620098946723401,0.9691181916480757,0.6375752481376771,0.9655640431602079,,,meta-noise,241,1.0,0.6,0.0
distributed,meta_noise_0.6,20275523,0.9430769665354861,0.3943997007841942,0.6394795526176331,0.31133699927485803,0.4751199693987921,1.0,0.325,0.2359142448970755,0.021907909998686977,0.18075500879980538,0.8067708334038641,0.7577982410717403,0.9430769665354861,0.6020236954382997,0.6645195293865399,0.5,0.8901041667060416,0.9986204644887375,0.9430769665354861,0.9409235781539471,0.9784891122650838,0.636959233852703,0.9597063452095155,,,meta-noise,242,1.0,0.6,0.0
distributed,meta_noise_0.6,20275524,0.9356964613602659,0.3040272326817164,0.675142462172941,0.2968796380450972,0.43207430992386087,1.0,0.5,0.19235716972794015,0.01268192895689228,0.13977112010994291,0.8427083333856136,0.7684955387679032,0.9356964613602659,0.6232960665181081,0.6272754169594037,0.5,0.8817708333663014,0.998388994957207,0.9356964613602659,0.9570873907864221,0.9705948751932508,0.6479333907502334,0.9638411329898364,,,meta-noise,243,1.0,0.6,0.0
distributed,meta_noise_0.6,20275525,0.9271951719044328,0.39479560315640005,0.6418379943687895,0.3727193782701439,0.5054035106784129,1.0,0.30833333333333335,0.2669262651152292,0.035631393534280714,0.3034240210735143,0.8848958333575514,0.7536151334634116,0.9271951719044328,0.6136943770405874,0.669326923076923,0.5,0.8140625000566551,0.9984749873246962,0.9271951719044328,0.9715438728196446,0.9635424166578423,0.6372225032537362,0.9675431447387435,,,meta-noise,244,1.0,0.6,0.0
distributed,meta_noise_0.6,20275526,0.9433375121704127,0.2921913531526604,0.6837591504377899,0.3246249675371463,0.47440083088377855,1.0,0.49166666666666664,0.18847757458408512,0.030038211135265763,0.2591507510361523,0.8208333333930822,0.7689691042007143,0.9433375121704127,0.63659676996959,0.6702092907220324,0.5,0.8713541667021976,0.9983989354294837,0.9433375121704127,0.9629821053253718,0.9614636417376876,0.6531371758479363,0.9622228735315297,,,meta-noise,245,1.0,0.6,0.0
